"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_651","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Family_Rhodobacteraceae","Family_Rhodobacteraceae"
"ASV_652","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax","Genus_Halobacteriovorax"
"ASV_653","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Family_Lachnospiraceae","Family_Lachnospiraceae"
"ASV_654","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","Genus_Synechococcus_CC9902"
"ASV_655","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Family_Rhodobacteraceae","Family_Rhodobacteraceae"
"ASV_656","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Family_Rhizobiaceae","Family_Rhizobiaceae"
"ASV_657","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Genus_Alteromonas"
"ASV_658","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Family_Microtrichaceae","Family_Microtrichaceae"
"ASV_659","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family_JG30-KF-CM45","Family_JG30-KF-CM45"
"ASV_660","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetitomaculum","Genus_Acetitomaculum"
"ASV_661","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnobacter","Genus_Limnobacter"
"ASV_662","Archaea","Nanoarchaeaeota","Woesearchaeia","","Unclassified_ASV_662","Unclassified_ASV_662","Unclassified_ASV_662"
"ASV_663","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens","Genus_Salinirepens"
"ASV_664","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_UCG-003","Genus_Erysipelotrichaceae_UCG-003"
"ASV_665","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","Genus_NS5_marine_group"
"ASV_666","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Aquarickettsia","Aquarickettsia"
"ASV_667","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","Genus_Janibacter"
"ASV_668","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Genus_Nocardioides"
"ASV_669","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Family_Enterococcaceae","Family_Enterococcaceae"
"ASV_670","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium","Genus_Filomicrobium"
"ASV_671","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307","Genus_Cyanobium_PCC-6307"
"ASV_672","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","Genus_Corynebacterium_1"
"ASV_673","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Genus_Macrococcus"
"ASV_674","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Family_Sporolactobacillaceae","Family_Sporolactobacillaceae"
"ASV_675","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Genus_Hyphomicrobium"
"ASV_676","Bacteria","WS1","","","Unclassified_ASV_676","Unclassified_ASV_676","Unclassified_ASV_676"
"ASV_677","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Family_Muribaculaceae","Family_Muribaculaceae"
"ASV_678","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","Genus_Spirochaeta_2"
"ASV_680","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Genus_Porphyromonas"
